20150902235142;-87;0.13;3G;-89
20150902084649;-127;0.14;Unknown;-95
20150902084717;-127;0.14;Unknown;-81
20150903000711;-127;0.18;3G;-97
20150903002140;-127;0.26;3G;-83
20150903003650;-127;0.27;3G;-73
20150903005143;-127;0.27;3G;-87
20150903010708;-127;0.26;3G;-83
20150903012144;-127;0.24;3G;-87
20150903013629;-127;0.22;3G;-79
20150903015141;-127;0.19;3G;-91
20150903020629;-127;0.18;3G;-103
20150903022131;-127;0.16;3G;-95
20150903025309;-127;0.13;3G;-83
20150903030153;-127;0.11;3G;-103
20150903031706;-70;0.12;3G;-113
20150903034106;-70;0.3;3G;-111
20150903035241;-70;0.38;3G;-113
20150903040157;-70;0.45;3G;-113
20150903041803;-70;0.58;3G;-111
20150903043217;-70;0.67;3G;-113
20150903044718;-70;0.75;3G;-113
20150903050417;-70;0.85;3G;-111
20150903052055;-70;0.94;3G;-113
20150903053218;-70;0.99;3G;-107
20150903054719;-70;1.0;3G;-107
20150903060149;-127;1.0;3G;-107
20150903062525;-127;1.0;3G;-111
20150903064051;-127;1.0;3G;-109
20150903064809;-127;1.0;3G;-107
20150903070159;-127;1.0;3G;-109
20150903072008;-127;1.0;3G;-109
20150903073248;-127;1.0;3G;-107
20150903074649;-127;1.0;3G;-107
20150903080221;-127;1.0;3G;-111
20150903081650;-127;1.0;3G;-107
20150903083211;-127;1.0;3G;-113
20150903084727;-68;1.0;3G;-113
20150903090150;-68;0.98;3G;-109
20150903091654;-65;0.95;3G;-109
20150903093155;-69;0.92;3G;-105
20150903094649;-58;0.9;3G;-111
20150903100223;-127;0.88;3G;-113
20150903101744;-127;0.91;3G;-71
20150903103201;-60;0.89;3G;-93
20150903104649;-60;0.88;3G;-95
20150903110234;-42;0.88;3G;-91
20150903111703;-46;0.91;3G;-105
20150903113200;-48;0.94;3G;-105
20150903114654;-50;0.96;3G;-99
20150903120313;-50;0.99;3G;-105
20150903121717;-52;1.0;3G;-91
20150903123341;-127;0.99;3G;-53
20150903124702;-127;0.95;3G;-87
20150903130149;-75;0.91;3G;-113
20150903131909;-71;0.89;3G;-99
20150903133415;-88;0.88;3G;-105
20150903134706;-65;0.86;3G;-101
20150903140338;-127;0.81;3G;-113
20150903141649;-127;0.8;3G;-63
20150903143156;-127;0.82;3G;-91
20150903144728;-127;0.78;3G;-83
20150903150159;-127;0.76;3G;-85
20150903151745;-127;0.74;3G;-83
20150903153201;-127;0.72;3G;-77
20150903154707;-127;0.7;3G;-89
20150903160200;-127;0.68;3G;-83
20150903161655;-127;0.66;3G;-91
20150903163216;-127;0.64;3G;-85
20150903164730;-127;0.63;3G;-83
20150903170159;-127;0.61;3G;-85
20150903171652;-127;0.59;3G;-83
20150903173219;-127;0.58;3G;-81
20150903174739;-127;0.57;3G;-81
20150903180150;-127;0.59;3G;-83
20150903181727;-127;0.63;3G;-83
20150903183150;-127;0.66;3G;-79
20150903184649;-127;0.68;3G;-87
20150903190228;-127;0.69;3G;-89
20150903191656;-127;0.69;3G;-89
20150903193259;-127;0.7;3G;-89
20150903194708;-127;0.7;3G;-89
20150903200207;-127;0.72;3G;-85
20150903201715;-127;0.67;3G;-89
20150903203225;-127;0.64;3G;-87
20150903204740;-127;0.61;3G;-79
20150903210230;-127;0.58;3G;-77
20150903211650;-127;0.56;3G;-79
20150903213237;-127;0.54;3G;-81
20150903214800;-127;0.51;3G;-87
20150903220228;-127;0.49;3G;-83
20150903221657;-127;0.48;3G;-91
20150903223237;-127;0.43;3G;-79
20150903224726;-127;0.41;3G;-81
20150903230233;-127;0.39;3G;-79
20150903231737;-127;0.39;3G;-79
20150903233150;-79;0.37;3G;-75
20150903234708;-76;0.34;3G;-81
20150904000236;-80;0.33;3G;-83
20150904001722;-80;0.32;3G;-81
20150904003202;-127;0.28;3G;-87
20150904004716;-127;0.27;3G;-75
20150904010152;-127;0.26;3G;-75
20150904011704;-127;0.25;3G;-91
20150904013157;-127;0.24;3G;-113
20150904014649;-127;0.23;3G;-79
20150904020200;-127;0.22;3G;-127
20150904021702;-127;0.2;3G;-109
20150904023230;-62;0.17;3G;-101
20150904024653;-67;0.16;Unknown;-99
20150904030149;-56;0.16;3G;-105
20150904031656;-56;0.23;3G;-111
20150904033626;-56;0.32;3G;-109
20150904035517;-56;0.39;3G;-109
20150904040451;-56;0.44;3G;-107
20150904041843;-56;0.49;3G;-111
20150904043438;-56;0.55;3G;-107
20150904045046;-56;0.61;3G;-109
20150904050149;-56;0.64;3G;-103
20150904051649;-56;0.67;3G;-111
20150904053158;-56;0.71;3G;-113
20150904055326;-56;0.77;3G;-113
